,time,high,low,open,volumefrom,volumeto,close,RealTime
1657,1616112000,1309.23,1287.83,1277.59,311221.65,406938723.2,1307.55,2021-03-19
1658,1616198400,1321.67,1299.42,1307.55,314823.45,410541628.19,1304.04,2021-03-20
1659,1616284800,1314.38,1280.72,1304.04,305816.83,395096227.26,1291.94,2021-03-21
1660,1616371200,1230.68,1198.97,1291.94,371699.17,452349870.7,1216.98,2021-03-22
1661,1616457600,1243.73,1209.63,1216.98,400425.94,487226316.18,1216.77,2021-03-23
1662,1616544000,1189.69,1132.22,1216.77,624494.62,723335653.61,1158.27,2021-03-24
1663,1616630400,1171.72,1120.8,1158.27,463684.96,536363922.72,1156.74,2021-03-25
1664,1616716800,1248.12,1210.16,1156.74,459354.17,566536824.81,1233.33,2021-03-26
1665,1616803200,1259.64,1231.26,1233.33,475135.19,590601751.92,1243.02,2021-03-27
1666,1616889600,1243.85,1224.4,1243.02,399198.72,489102549.12,1225.21,2021-03-28
1667,1616976000,1328.72,1263.85,1225.21,517814.86,683046329.12,1319.09,2021-03-29
1668,1617062400,1356.94,1327.85,1319.09,474005.03,635490816.92,1340.68,2021-03-30
1669,1617148800,1408.5,1318.92,1340.68,691900.14,963327822.36,1392.29,2021-03-31
1670,1617235200,1431.83,1379.52,1392.29,667372.49,951023699.98,1425.03,2021-04-01
1671,1617321600,1547.19,1416.12,1425.03,758328.86,1171660868.23,1545.06,2021-04-02
1672,1617408000,1501.68,1435.76,1545.06,585204.43,854529357.78,1460.22,2021-04-03
1673,1617494400,1519.0,1475.9,1460.22,379205.66,571526800.63,1507.17,2021-04-04
1674,1617580800,1532.53,1496.41,1507.17,428974.05,649942547.9,1515.11,2021-04-05
1675,1617667200,1538.49,1497.7,1515.11,511268.79,782711793.4,1530.92,2021-04-06
1676,1617753600,1493.33,1418.58,1530.92,555900.61,795854438.45,1431.65,2021-04-07
1677,1617840000,1520.25,1481.3,1431.65,382510.23,580053150.37,1516.44,2021-04-08
1678,1617926400,1528.7,1500.65,1516.44,288497.65,435997983.49,1511.27,2021-04-09
1679,1618012800,1593.82,1550.98,1511.27,442753.0,691154420.19,1561.04,2021-04-10
1680,1618099200,1582.17,1553.23,1561.04,317647.73,499508373.33,1572.52,2021-04-11
1681,1618185600,1571.96,1534.05,1572.52,354972.59,552589798.31,1556.71,2021-04-12
1682,1618272000,1695.47,1621.73,1556.71,569254.13,955386228.53,1678.31,2021-04-13
1683,1618358400,1781.55,1653.71,1678.31,676532.68,1197217098.11,1769.64,2021-04-14
1684,1618444800,1846.82,1763.58,1769.64,594302.29,1087728840.85,1830.26,2021-04-15
1685,1618531200,1784.62,1698.68,1830.26,588802.62,1035319868.59,1758.35,2021-04-16
1686,1618617600,1757.28,1687.71,1758.35,458518.58,775047982.87,1690.33,2021-04-17
1687,1618704000,1638.42,1527.47,1690.33,798578.53,1307097680.02,1636.78,2021-04-18
1688,1618790400,1594.28,1530.0,1636.78,527206.4,817570402.22,1550.76,2021-04-19
1689,1618876800,1680.58,1546.18,1550.76,621535.3,1042518371.05,1677.33,2021-04-20
1690,1618963200,1702.5,1587.19,1677.33,782138.94,1326140635.74,1695.53,2021-04-21
1691,1619049600,1801.63,1628.02,1695.53,1241263.18,2155949924.5,1736.9,2021-04-22
1692,1619136000,1738.13,1612.36,1736.9,957396.25,1639287078.03,1712.23,2021-04-23
1693,1619222400,1679.33,1600.27,1712.23,358018.76,574615650.53,1604.99,2021-04-24
1694,1619308800,1678.66,1555.92,1604.99,410195.8,688288430.25,1677.95,2021-04-25
1695,1619395200,1867.88,1790.79,1677.95,458788.51,837849139.08,1826.22,2021-04-26
1696,1619481600,1927.98,1842.72,1826.22,405825.84,779366269.09,1920.45,2021-04-27
1697,1619568000,1978.95,1869.64,1920.45,645790.68,1272652479.08,1970.69,2021-04-28
1698,1619654400,1996.53,1904.59,1970.69,565883.38,1120875699.37,1980.75,2021-04-29
1699,1619740800,2163.37,1998.76,1980.75,643562.33,1294952982.56,2012.16,2021-04-30
1700,1619827200,2146.29,1987.26,2012.16,538964.52,1152253460.25,2137.9,2021-05-01
1701,1619913600,2159.93,2085.23,2137.9,384529.62,822823317.43,2139.82,2021-05-02
1702,1620000000,2477.8,2135.54,2139.82,921498.46,2276837041.84,2470.8,2021-05-03
1703,1620086400,2451.2,2207.96,2470.8,1104071.41,2582840283.07,2339.38,2021-05-04
1704,1620172800,2562.13,2361.92,2339.38,799684.58,2029707851.37,2538.14,2021-05-05
1705,1620259200,2565.09,2429.23,2538.14,515874.74,1298503296.23,2517.09,2021-05-06
1706,1620345600,2555.67,2474.64,2517.09,375618.89,938172884.59,2497.67,2021-05-07
1707,1620432000,2844.69,2531.58,2497.67,690743.35,1941570392.6,2810.84,2021-05-08
1708,1620518400,2863.63,2719.64,2810.84,601684.25,1687447128.02,2804.54,2021-05-09
1709,1620604800,2904.61,2613.36,2804.54,931277.66,2609421299.17,2801.98,2021-05-10
1710,1620691200,2958.86,2773.66,2801.98,521418.55,1542176071.06,2957.65,2021-05-11
1711,1620777600,2828.92,2569.62,2957.65,872605.01,2372966852.53,2719.41,2021-05-12
1712,1620864000,2827.73,2607.81,2719.41,966827.32,2568973915.2,2657.12,2021-05-13
1713,1620950400,2907.44,2639.87,2657.12,598719.91,1735435316.02,2898.58,2021-05-14
1714,1621036800,2742.21,2584.35,2898.58,507557.57,1317624214.64,2596.01,2021-05-15
1715,1621123200,2642.04,2460.12,2596.01,685485.05,1742401233.14,2541.85,2021-05-16
1716,1621209600,2418.69,2276.94,2541.85,541498.72,1254939676.23,2317.53,2021-05-17
1717,1621296000,2417.1,2274.06,2317.53,530175.77,1265258967.9,2386.49,2021-05-18
1718,1621382400,2074.55,1650.5,2386.49,1532477.02,2659082366.71,1735.15,2021-05-19
1719,1621468800,2025.48,1749.32,1735.15,1055255.78,2065378800.56,1957.23,2021-05-20
1720,1621555200,1859.96,1660.76,1957.23,922352.04,1591587483.99,1725.57,2021-05-21
1721,1621641600,1741.07,1595.09,1725.57,733346.88,1194131591.63,1628.33,2021-05-22
1722,1621728000,1534.32,1365.4,1628.33,1275246.25,1899881498.6,1489.82,2021-05-23
1723,1621814400,1879.27,1646.01,1489.82,1008234.35,1891424060.82,1875.98,2021-05-24
1724,1621900800,1924.26,1763.62,1875.98,870281.82,1665678379.79,1913.95,2021-05-25
1725,1621987200,2048.23,1932.92,1913.95,616896.68,1263031862.53,2047.4,2021-05-26
1726,1622073600,1996.71,1910.72,2047.4,462019.43,892440885.14,1931.61,2021-05-27
1727,1622160000,1802.55,1690.66,1931.61,609911.37,1039761817.11,1704.78,2021-05-28
1728,1622246400,1711.14,1591.3,1704.78,520954.28,838679306.77,1609.89,2021-05-29
1729,1622332800,1722.76,1640.43,1609.89,424163.44,714925916.1,1685.5,2021-05-30
1730,1622419200,1907.53,1732.79,1685.5,508540.05,969256767.5,1905.96,2021-05-31
1731,1622505600,1887.54,1825.31,1905.96,343397.96,639183649.65,1861.35,2021-06-01
1732,1622592000,1950.43,1882.23,1861.35,316878.82,605773215.45,1911.69,2021-06-02
1733,1622678400,2049.01,1990.88,1911.69,307047.64,621713932.54,2024.81,2021-06-03
1734,1622764800,1919.34,1856.73,2024.81,317453.71,604415888.62,1903.95,2021-06-04
1735,1622851200,1880.36,1828.76,1903.95,328092.73,611068325.85,1862.49,2021-06-05
1736,1622937600,1921.76,1863.56,1862.49,277326.12,531409994.42,1916.19,2021-06-06
1737,1623024000,1839.94,1791.55,1916.19,382585.65,700940587.12,1832.11,2021-06-07
1738,1623110400,1830.69,1756.75,1832.11,523503.15,928940826.81,1774.47,2021-06-08
1739,1623196800,1995.2,1837.51,1774.47,568657.19,1052295878.36,1850.49,2021-06-09
1740,1623283200,1811.34,1734.65,1850.49,430379.98,751240769.81,1745.53,2021-06-10
1741,1623369600,1786.9,1662.14,1745.53,364255.45,608338406.46,1670.09,2021-06-11
1742,1623456000,1718.95,1584.51,1670.09,385744.66,649064893.56,1682.63,2021-06-12
1743,1623542400,1868.88,1759.92,1682.63,283095.2,503157677.39,1777.34,2021-06-13
1744,1623628800,1853.67,1794.76,1777.34,348793.56,638429424.26,1830.39,2021-06-14
